baseline,stddev,threshold,reset_threshold,run_start_time,is_leader
775.0, 9.3, 975, 825, 2024-11-01T18:06:41.482495-04:00, 1
Muon Count,ADC,temperature_ADC,dt,t,t_wait,coinc
1, 7089, 15171, 2, 20751, 76, 0
2, 5313, 15171, 240, 20991, 78, 0
3, 1024, 15171, 580, 21571, 93, 0
4, 1088, 15171, 1299, 22870, 91, 0
5, 5153, 15187, 209, 23079, 78, 0
6, 1088, 15155, 94, 23173, 93, 0
7, 18916, 15171, 159, 23332, 67, 0
8, 3760, 15155, 189, 23521, 79, 0
9, 2096, 15155, 380, 23901, 85, 0
10, 22149, 15155, 129, 24030, 66, 0
11, 3120, 15171, 120, 24150, 82, 0
12, 5121, 15155, 87, 24237, 78, 0
13, 992, 15155, 410, 24647, 93, 0
14, 2992, 15155, 471, 25118, 81, 0
15, 20340, 15155, 333, 25451, 67, 0
16, 42586, 15155, 753, 26204, 59, 0
17, 4064, 15155, 82, 26286, 80, 0
18, 1008, 15171, 628, 26914, 94, 0
19, 1744, 15155, 670, 27584, 86, 0
20, 11426, 15139, 1693, 29277, 71, 0
21, 4449, 15155, 1335, 30612, 78, 0
22, 1088, 15139, 90, 30702, 93, 0
23, 1376, 15139, 272, 30974, 89, 0
24, 8850, 15139, 478, 31452, 68, 0
25, 4577, 15139, 3, 31455, 79, 0
26, 13139, 15139, 203, 31658, 69, 0
27, 17348, 15139, 302, 31960, 68, 0
28, 13827, 15123, 1120, 33080, 70, 0
29, 3984, 15123, 139, 33219, 80, 0
30, 26214, 15139, 52, 33271, 63, 0
31, 4801, 15123, 140, 33411, 78, 0
32, 3744, 15123, 436, 33847, 80, 0
33, 27478, 15139, 431, 34278, 50, 1
34, 2688, 15139, 278, 34556, 82, 0
35, 7057, 15123, 792, 35348, 75, 0
36, 2464, 15139, 144, 35492, 83, 0
37, 18580, 15139, 5, 35497, 67, 0
38, 12467, 15139, 616, 36113, 71, 0
39, 22213, 15139, 51, 36164, 71, 0
40, 1328, 15123, 178, 36342, 91, 0
41, 4529, 15123, 305, 36647, 79, 0
42, 1344, 15123, 922, 37569, 90, 0
43, 4625, 15123, 80, 37649, 79, 0
44, 1680, 15123, 82, 37731, 87, 0
45, 1008, 15123, 1361, 39092, 94, 0
46, 2272, 15123, 994, 40086, 84, 0
47, 5953, 15123, 141, 40227, 76, 0
48, 24165, 15123, 78, 40305, 66, 0
49, 8129, 15123, 711, 41016, 74, 0
50, 20292, 15123, 42, 41058, 54, 1
51, 1184, 15107, 437, 41495, 90, 0
52, 6593, 15123, 16, 41511, 77, 0
53, 1680, 15123, 190, 41701, 87, 0
54, 4497, 15107, 654, 42355, 69, 1
55, 1088, 15107, 131, 42486, 93, 0
56, 1984, 15107, 434, 42920, 86, 0
57, 2736, 15123, 219, 43139, 83, 0
58, 6593, 15107, 457, 43596, 75, 0
59, 17492, 15107, 318, 43914, 69, 0
60, 1920, 15123, 339, 44253, 85, 0
61, 5905, 15123, 63, 44316, 78, 0
62, 1856, 15123, 300, 44616, 87, 0
63, 17940, 15123, 76, 44692, 54, 1
64, 7329, 15107, 312, 45004, 75, 0
65, 32279, 15123, 889, 45893, 48, 1
66, 1072, 15107, 81, 45974, 93, 0
67, 8786, 15107, 706, 46680, 74, 0
68, 1792, 15107, 169, 46849, 86, 0
69, 1088, 15107, 304, 47153, 92, 0
70, 976, 15107, 105, 47258, 95, 0
71, 2256, 15123, 18, 47276, 86, 0
72, 3744, 15107, 803, 48079, 80, 0
73, 2272, 15107, 26, 48105, 84, 0
74, 12675, 15107, 129, 48234, 70, 0
75, 5793, 15107, 790, 49024, 77, 0
76, 1200, 15107, 439, 49463, 92, 0
77, 11666, 15107, 399, 49862, 72, 0
78, 10770, 15107, 1308, 51170, 71, 0
79, 18948, 15075, 100, 51270, 55, 1
80, 2064, 15107, 117, 51387, 85, 0
81, 10306, 15123, 575, 51962, 72, 0
82, 3424, 15091, 204, 52166, 82, 0
83, 18564, 15091, 652, 52818, 67, 0
84, 4961, 15075, 427, 53245, 77, 0
85, 1024, 15075, 251, 53496, 94, 0
86, 20805, 15091, 97, 53593, 67, 0
87, 30567, 15107, 172, 53765, 49, 1
